Informal ,formal 
பொறக்குறேன்,பிறக்கின்றேன்
நிண்ட,நின்ற
நிக்குது,நிற்றுகின்றது
நிண்டிச்சி,நின்றது
நிண்டான்,நின்றான்
நிண்டால்,நின்றாள்
நிக்கும்,நிற்கும்
நிப்பீங்க,நிற்பீர்கள்
நிப்பாங்க,நிற்பார்கள்
நிண்டாங்க,நின்றார்கள்
நிக்குறீங்க,நிற்கிறீர்கள்
நிக்குறேன்,நிற்கிறேன்
நிப்பேன்,நிற்பேன்
நிக்குறான்,நிட்கின்றான்
நிப்பான்,நிற்பான்
நிக்குறாள்,நிற்கின்றாள்
நிப்பால்,நிற்பாள்
நிக்குறாங்க,நிற்கின்றார்கள்
நிண்டீங்க,நின்றீர்கள்
மூட்ற,மூடுதல்
மூடிச்சி,மூடியது
மூட்றான்,மூடுகிறான்
மூட்றால்,மூடுகிறாள்
மூடுவாங்க,மூடுவார்கள்
மூடினாங்க,மூடினார்கள்
மூடுவீங்க,மூடுவீர்கள்
மூட்றேன்,மூடுகிறேன்
மூடுது,மூடுகின்றது
மூடினாங்க,மூடினார்கள்
மூட்றாங்க,மூடுகிறார்கள்
மூடுறீங்க,மூடுகிறீர்கள்
மூடினீங்க,மூடினீர்கள்
தூங்குற,உறங்குதல்
தூங்குது,உறங்குகிறது
தூங்கிச்சி,உறங்கியது
தூங்குறான்,உறங்குகிறான்
தூங்குறாள்,உறங்குகிறாள்
தூங்கும்,உறங்கும்
தூங்குவீங்க,உறங்குவீர்கள்
தூக்கினாங்க,உறங்கினார்கள்
தூங்குவாங்க,உறங்குவார்கள்
தூங்குறீங்க,உறங்குகின்றீர்
தூங்குறேன்,உறங்குகிறேன்
தூங்குவேன்,உறங்குவேன்
தூங்குறாங்க,தூங்குகின்றார்கள்
தூங்கினீங்க,தூங்கினீர்கள்
எழும்புற,எளுந்திரு
எலும்பிச்சி,எழுந்தது
எலும்பும்,எழுந்திருக்கும்
எலும்பினான்,எழுந்தான்
எழும்பினாள்,எழுந்தாள்
எழும்புவாங்க,எழுவார்கள்
எலும்புவீங்க,எழுவீர்கள்
எலும்பினீங்க,எழுந்தீர்கள்
எழுப்புவேன்,எழுவேன்
எழும்பினேன்,எழுந்தேன்
எலும்புறேன்,எழுகிறேன்
எழும்புது,எழுகின்றது
எலும்புறான்,எழுகிறான்
எழும்புவான்,எழுவான்
எலும்புறாள்,எழுகிறாள்
எழும்புவாள்,எழுவாள்
எலும்புறாங்க,எழுகிறார்கள்
எலும்பினாங்க,எழுந்தார்கள்
எலும்புறீங்க,எழுகின்றீர்கள்
ஓட்ற,ஓடுதல்
ஓடிச்சி,ஓடியது
ஓட்றாங்க,ஓடுகிறார்கள்
ஓடுவீங்க,ஓடுவீர்கள்
ஓட்றேன்,ஓடுகிறேன்
ஓடுவாங்க,ஓடுவார்கள்
