informal,formal
ඔයැයිනුත්,ඔබත්
ඔහේලට,ඔබලාට
ඔයැයිලට,ඔබලාට
කවදාවත්ම,කෙදිනකවත්ම
හීනවල,සිහිනවල
හීනෙන්,සිහිනෙන්
හීනෙට,සිහිනෙට
හීනවලින්,සිහිනවලින්
හීනෙන්ම,සිහිනෙන්ම
හීනෙන්,සිහිනෙන්
හීනවලදී,සිහිනවලදී
ඇත්තම,සත්‍යම
ඇත්තටම,සත්‍ය වශයෙන්ම
ඇත්තනම්,සත්‍ය නම්
ඇත්තක්,සත්‍යක්
ඉස්කෝලෙන්,පාසලෙන්
ඉස්කෝලෙදි,පාසලෙදී
ඉස්කෝලත්,පාසලුත්
ඉස්කෝලෙත්,පාසලෙත්
ඉස්කෝලවල,පාසල්වල
ඉස්කෝලවලදී,පාසල්වලදී
ඉස්කෝලෙට,පාසලට
ඉස්කෝලෙනම්,පාසලේනම්
ඉස්කෝල,පාසල්
උත්තරවල,පිළිතුරුවල
උත්තර,පිළිතුරු
උත්තරත්,පිළිතුරුත්
උත්තරයක,පිළිතුරක
උත්තරෙන්,පිළිතුරෙන්
බේගලුත්,බොරුත්
ඇහට,ඇසට
ඇහෙන්,ඇසෙන්
ඇහක,ඇසක
නාහෙන්,නාසයෙන්
නාහෙට,නාසයට
හැත්තත්,පිරිසත්
සුපිරිම,විශිෂ්ටම
මෙව්වනම්,මේවනම්
මෙව්වත්,මේවත්
මෙව්වවල,මේවවල
මෙව්වටනම්,මේවටනම්
පටන් ගන්න,ආරම්බ කරන්න
ඔයනවා,ලෙලි ගහනවා
ඔයලා,ලෙලි ගසා
ඔයනවනම්,ලෙලි  ගසනවනම්
ඔයන්නැතුව,ලෙලි නොගසා
ඔයපු,ලෙලි ගැසූ
තිව්වා,තැබුවා
තිබ්බා,තැබුවා
තිව්න්නැති,නොතිබුණු
තිබිච්ච,තිබුණු
තියලා,තබා
තිව්වනම්,තැබුවේ නම්
තිව්වොත්,තැබුවොත්
තිබ්බයින්,තිබුණු නිසා
තිව්වයින්,තැබූ නිසා
සිදුවෙච්ච,සිදුවුනු
කරගත්තයින්,කරගත් නිසා
කිව්වැයින්,පැවසූ නිසා
කරායින්,කළ නිසා
බිව්වයින්,බීපු නිසා
කෑවයින්,කෑව නිසා
ගියයින්,ගිය නිසා
වැහුවයින්,වැසූ නිසා
ඇරියයින්,විවෘත කළ නිසා
කරායින්,කළ නිසා
දුන්නැයින්,දීපු නිසා
ගත්තැයින්,ගත්ත නිසා
ආවයින්,ආපු නිසා
